"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.824224500E-2,-9.036064148E-2,-2.387941442E-2,0.000000000E0,9.346267684E-2
6.824224500E-2,-7.530053705E-2,-1.989986748E-2,2.679647179E-3,7.793174010E-2
7.824224500E-2,-6.024042889E-2,-1.591925509E-2,-2.625351539E-3,6.236364668E-2
8.824224500E-2,-4.518032074E-2,-1.193970721E-2,2.501855837E-3,4.679826143E-2
9.824224500E-2,-3.012021445E-2,-7.960160263E-3,2.656225581E-3,3.126734725E-2
1.082422450E-1,-1.506010722E-2,-3.979547415E-3,2.662613289E-3,1.580294709E-2
1.182422450E-1,-5.185761489E-3,5.449787248E-3,2.561474452E-3,7.946914787E-3
1.282422450E-1,5.249638576E-3,-5.003711674E-3,2.578508342E-3,7.697047549E-3
1.382422450E-1,-5.471079610E-3,5.253897049E-3,2.617899328E-3,8.024309515E-3
1.482422450E-1,5.030327011E-3,-5.100592040E-3,2.543375827E-3,7.601906971E-3
1.582422450E-1,5.205989350E-3,5.007970147E-3,2.575314604E-3,7.669050489E-3
1.682422450E-1,-5.016487092E-3,-5.193213932E-3,-2.541246591E-3,7.654576927E-3
1.782422450E-1,-5.066524260E-3,-5.165533628E-3,-2.663678024E-3,7.710226090E-3
1.882422450E-1,-5.367811304E-3,-5.187890958E-3,2.742459765E-3,7.952904900E-3
1.982422450E-1,5.137853790E-3,5.497694947E-3,2.675388707E-3,7.986231654E-3
2.082422450E-1,-5.040973425E-3,-5.347583443E-3,2.606188413E-3,7.797453417E-3
2.182422450E-1,-5.253897049E-3,-5.373134743E-3,-2.629610011E-3,7.961712126E-3
2.282422450E-1,-5.035649985E-3,-5.051619373E-3,2.703068778E-3,7.627791940E-3
2.382422450E-1,5.439140834E-3,5.353971384E-3,2.605123911E-3,8.064485922E-3
2.482422450E-1,5.270930938E-3,5.325226579E-3,2.559345216E-3,7.917764773E-3
2.582422450E-1,5.444463808E-3,5.171921570E-3,-2.628545510E-3,7.956142934E-3
2.682422450E-1,-5.066524260E-3,-5.068653263E-3,-2.583831549E-3,7.618208415E-3
2.782422450E-1,5.086751655E-3,5.425300915E-3,-2.548699034E-3,7.861602838E-3
2.882422450E-1,-5.209183320E-3,-5.301805213E-3,-2.571056131E-3,7.864798727E-3
2.982422450E-1,5.032456480E-3,-5.049490370E-3,-2.722231904E-3,7.631088897E-3
3.082422450E-1,4.732233472E-3,-5.051619373E-3,-2.563603688E-3,7.381392538E-3
3.182422450E-1,4.734362941E-3,-5.051619373E-3,-2.406039974E-3,7.329534713E-3
3.282422450E-1,4.436269403E-3,-5.060136318E-3,-2.246347023E-3,7.094472547E-3
3.382422450E-1,4.441592377E-3,-5.072911736E-3,-2.246347023E-3,7.106915735E-3
3.482422450E-1,4.143498838E-3,-5.080364179E-3,-2.243153285E-3,6.928955150E-3
3.582422450E-1,4.156274255E-3,-5.086751655E-3,-2.237830078E-3,6.939563498E-3
3.682422450E-1,3.856051713E-3,-5.088881124E-3,-2.233571606E-3,6.764221169E-3
3.782422450E-1,3.863504156E-3,-5.097398069E-3,-2.231442370E-3,6.774176443E-3
3.882422450E-1,3.563281382E-3,-5.104850512E-3,-2.225054661E-3,6.611152789E-3
