"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.911204400E-2,5.135724321E-3,5.352906883E-3,2.716908930E-3,7.900055097E-3
5.911204400E-2,5.164469127E-3,5.441270303E-3,2.521018963E-3,7.914208772E-3
6.911204400E-2,-5.012228619E-3,5.169792101E-3,2.560409950E-3,7.642308893E-3
7.911204400E-2,-5.256026518E-3,5.256026518E-3,-2.581702312E-3,7.868723933E-3
8.911204400E-2,-5.068653263E-3,-5.054813344E-3,2.523148200E-3,7.590036935E-3
9.911204400E-2,-5.259220023E-3,5.414654501E-3,-2.500791103E-3,7.951844739E-3
1.091120440E-1,-5.307128187E-3,-5.394427106E-3,-2.578508342E-3,7.994633116E-3
1.191120440E-1,5.135724321E-3,-5.117625929E-3,-2.633868484E-3,7.713820237E-3
1.291120440E-1,5.092075095E-3,-5.111237988E-3,-2.582766814E-3,7.663202134E-3
1.391120440E-1,5.484919529E-3,5.343324970E-3,-2.501855837E-3,8.055727566E-3
1.491120440E-1,5.320968106E-3,5.389103666E-3,2.673259471E-3,8.031279855E-3
1.591120440E-1,5.437011831E-3,-5.406137556E-3,-2.605123911E-3,8.097783123E-3
1.691120440E-1,5.086751655E-3,5.465756636E-3,2.531665144E-3,7.884089447E-3
1.791120440E-1,5.020745564E-3,5.427429918E-3,-2.532729646E-3,7.815343946E-3
1.891120440E-1,5.004776176E-3,-5.048425402E-3,-2.722231904E-3,7.612156735E-3
1.991120440E-1,5.266672466E-3,-5.043102428E-3,-2.558280714E-3,7.727581845E-3
2.091120440E-1,-5.364617798E-3,5.366746802E-3,2.681776416E-3,8.048168742E-3
2.191120440E-1,-5.326291081E-3,5.212376826E-3,-2.601929940E-3,7.893559923E-3
2.291120440E-1,5.437011831E-3,5.332679022E-3,2.624287037E-3,8.055150256E-3
2.391120440E-1,5.242186133E-3,5.408267025E-3,-2.666871762E-3,7.990123444E-3
2.491120440E-1,5.313515663E-3,-5.283706356E-3,-2.683905652E-3,7.959544654E-3
2.591120440E-1,5.264543463E-3,5.040973425E-3,-2.712650457E-3,7.777229805E-3
2.691120440E-1,5.130401347E-3,-5.143176764E-3,2.704133512E-3,7.751491680E-3
2.791120440E-1,5.282641854E-3,-5.117625929E-3,-2.740330528E-3,7.848936967E-3
2.891120440E-1,5.345454440E-3,-5.104850512E-3,-2.593412995E-3,7.833209615E-3
2.991120440E-1,5.099527538E-3,-5.113367457E-3,-2.593412995E-3,7.673167457E-3
3.091120440E-1,4.784400109E-3,-5.121884402E-3,-2.596606966E-3,7.474393084E-3
3.191120440E-1,4.472466651E-3,-5.119754933E-3,-2.595542232E-3,7.276791051E-3
3.291120440E-1,4.161597695E-3,-5.129336845E-3,-2.571056131E-3,7.087970194E-3
3.391120440E-1,3.849664005E-3,-5.128271878E-3,-2.568926895E-3,6.907855730E-3
3.491120440E-1,2.048327820E-3,-1.185879670E-2,-4.208440892E-3,1.274902666E-2
3.591120440E-1,1.288189553E-3,-1.999674737E-2,-6.451594178E-3,2.105118537E-2
3.691120440E-1,1.443624031E-3,-3.030013479E-2,-8.671325631E-3,3.154955003E-2
3.791120440E-1,1.059296425E-3,-4.113476723E-2,-1.190883387E-2,4.283703431E-2
3.891120440E-1,1.221118495E-3,-5.454684421E-2,-1.489722077E-2,5.655772742E-2
3.991120440E-1,9.091850370E-4,-1.130157486E-1,-1.871920377E-2,1.145591316E-1
4.091120440E-1,6.015099934E-4,-1.403519809E-1,-2.182789333E-2,1.420404776E-1
4.191120440E-1,2.842534159E-4,-1.681215167E-1,-2.585854195E-2,1.700987636E-1
4.291120440E-1,-2.661548751E-5,-2.084748447E-1,-2.843811549E-2,2.104055322E-1
4.391120440E-1,-3.310966713E-4,-2.548443675E-1,-3.032675013E-2,2.566426953E-1
4.491120440E-1,-6.409009220E-4,-2.998287976E-1,-3.150102496E-2,3.014797393E-1
4.591120440E-1,-9.464467294E-4,-3.438710272E-1,-3.223241866E-2,3.453796577E-1
4.691120440E-1,-1.250927919E-3,-3.825805783E-1,-3.275727853E-2,3.839824254E-1
4.791120440E-1,-1.563925995E-3,-4.183603227E-1,-3.205888718E-2,4.195897732E-1
4.891120440E-1,-2.356748097E-2,-4.475830495E-1,-2.967733331E-2,4.491845462E-1
4.991120440E-1,-4.749906436E-2,-4.715359509E-1,-2.707859688E-2,4.746952333E-1
5.091120440E-1,-7.312977314E-2,-4.879747331E-1,-2.370907553E-2,4.939933442E-1
5.191120440E-1,-9.982404858E-2,-4.988519549E-1,-1.954215579E-2,5.091168918E-1
5.291120440E-1,-1.288072467E-1,-5.025642514E-1,-1.458954532E-2,5.190134762E-1
5.391120440E-1,-1.583536267E-1,-5.036491156E-1,-9.699747898E-3,5.280458198E-1
5.491120440E-1,-1.870483160E-1,-4.958231151E-1,-5.363552831E-3,5.299588679E-1
5.591120440E-1,-2.155748010E-1,-4.847702086E-1,-1.461722539E-3,5.305438593E-1
5.691120440E-1,-2.347507179E-1,-4.615199864E-1,6.909380318E-4,5.177925017E-1
5.791120440E-1,-2.516483665E-1,-4.325463772E-1,2.177146729E-3,5.004278257E-1
5.891120440E-1,-2.624436021E-1,-4.067549109E-1,1.297771116E-3,4.840742568E-1
5.991120440E-1,-2.732069194E-1,-3.822686672E-1,-1.477691811E-3,4.698654471E-1
6.091120440E-1,-2.818292677E-1,-3.643042743E-1,-6.857214030E-3,4.606434216E-1
6.191120440E-1,-2.899225056E-1,-3.543309271E-1,-1.341101155E-2,4.580232750E-1
6.291120440E-1,-2.973971963E-1,-3.530821204E-1,-2.242620848E-2,4.621850397E-1
6.391120440E-1,-3.045077920E-1,-3.614276648E-1,-3.315544501E-2,4.737660137E-1
6.491120440E-1,-3.125286400E-1,-3.788097203E-1,-4.527400807E-2,4.931740979E-1
6.591120440E-1,-3.194284439E-1,-4.038091004E-1,-5.928865820E-2,5.182774019E-1
6.691120440E-1,-3.254499137E-1,-4.336163104E-1,-7.481294125E-2,5.473003994E-1
6.791120440E-1,-3.308603168E-1,-4.665056169E-1,-9.120595455E-2,5.791498648E-1
6.891120440E-1,-3.372491002E-1,-4.880609512E-1,-1.066706106E-1,6.027595432E-1
6.991120440E-1,-3.424508274E-1,-5.103232265E-1,-1.222044751E-1,6.266069728E-1
7.091120440E-1,-3.499446809E-1,-5.229251385E-1,-1.380662471E-1,6.441849647E-1
7.191120440E-1,-3.548312783E-1,-5.286293626E-1,-1.537587345E-1,6.549778527E-1
7.291120440E-1,-3.593367636E-1,-5.196205378E-1,-1.692617238E-1,6.540473561E-1
7.391120440E-1,-3.612743616E-1,-4.997408986E-1,-1.842845678E-1,6.435999783E-1
7.491120440E-1,-3.619567752E-1,-4.624313116E-1,-1.999589652E-1,6.203539416E-1
7.591120440E-1,-3.604077697E-1,-4.125400484E-1,-2.153533548E-1,5.886086301E-1
7.691120440E-1,-3.576929867E-1,-3.380113542E-1,-2.325884849E-1,5.443283491E-1
7.791120440E-1,-3.526466787E-1,-2.489271909E-1,-2.508477569E-1,4.992484587E-1
7.891120440E-1,-3.451900780E-1,-1.546508819E-1,-2.698895633E-1,4.646648917E-1
7.991120440E-1,-3.381274045E-1,-5.786419660E-2,-2.899959683E-1,4.491949115E-1
8.091120440E-1,-3.291143477E-1,3.527829424E-2,-3.107975721E-1,4.540439877E-1
8.191120440E-1,-3.211839795E-1,1.299155205E-1,-3.337369263E-1,4.810587565E-1
8.291120440E-1,-2.883372903E-1,2.201569229E-1,-3.590972126E-1,5.104490883E-1
8.391120440E-1,-2.545334697E-1,3.062079847E-1,-3.854220510E-1,5.541667388E-1
8.491120440E-1,-2.186941355E-1,3.799094558E-1,-4.131947756E-1,6.024020602E-1
8.591120440E-1,-1.836064011E-1,4.435417652E-1,-4.422897696E-1,6.527333670E-1
8.691120440E-1,-1.470239460E-1,4.904116392E-1,-4.733905196E-1,6.972934824E-1
8.791120440E-1,-1.120416224E-1,5.263904333E-1,-5.042676926E-1,7.375134705E-1
8.891120440E-1,-7.846458256E-2,5.419222116E-1,-5.345156193E-1,7.652080249E-1
8.991120440E-1,-4.710409045E-2,5.441930294E-1,-5.648540854E-1,7.857639508E-1
9.091120440E-1,-2.552957460E-2,5.247115493E-1,-5.933741927E-1,7.925067203E-1
9.191120440E-1,-8.234831505E-3,4.901816845E-1,-6.211692691E-1,7.913262015E-1
