"Time (s)","Tilt up/down (deg)","Tilt left/right (deg)"
1.018619029E0,1.727548783E0,-3.916166849E-1
1.518619029E0,1.750588233E0,-3.374124502E-1
2.018619029E0,1.762467044E0,-3.760396936E-1
2.518619029E0,1.734446261E0,-3.575641043E-1
3.018619029E0,1.695533256E0,-2.931492709E-1
3.518619029E0,1.718682074E0,-2.429691575E-1
4.018619029E0,1.746683538E0,-3.300330776E-1
4.518619029E0,1.741773482E0,-3.160425146E-1
5.018619029E0,1.702302411E0,-3.383427442E-1
5.518619029E0,1.690253931E0,-3.309266829E-1
6.018619029E0,1.753515776E0,-3.298879309E-1
6.518619029E0,1.688235045E0,-3.052985299E-1
7.018619029E0,1.717781495E0,-2.504068294E-1
7.518619029E0,1.766584616E0,-3.718319907E-1
8.018619029E0,1.758463212E0,-3.893263132E-1
8.518619029E0,1.737512472E0,-3.346452429E-1
9.018619029E0,1.710881433E0,-3.309563910E-1
9.518619029E0,1.716228024E0,-3.486053684E-1
1.001861903E1,1.719705003E0,-2.877152781E-1
1.051861903E1,1.697199818E0,-2.463733330E-1
1.101861903E1,1.709380201E0,-2.892003784E-1
1.151861903E1,1.692144035E0,-3.016109820E-1
1.201861903E1,1.692834782E0,-2.748620961E-1
1.251861903E1,1.747387261E0,-2.897683332E-1
1.301861903E1,1.700245200E0,-2.829921767E-1
1.351861903E1,1.717230486E0,-2.976423536E-1
1.401861903E1,1.713115201E0,-2.547865650E-1
1.451861903E1,1.715777161E0,-3.018963187E-1
1.501861903E1,1.709079035E0,-2.750691623E-1
1.551861903E1,1.730741353E0,-2.939341861E-1
1.601861903E1,1.709907041E0,-3.206139008E-1
1.651861903E1,1.658003505E0,-2.756343531E-1
1.701861903E1,1.670275858E0,-2.374601106E-1
1.751861903E1,1.709400291E0,-2.432783298E-1
1.801861903E1,1.732920568E0,-3.554791553E-1
1.851861903E1,1.757321911E0,-3.099238849E-1
1.901861903E1,1.712230257E0,-2.891625472E-1
1.951861903E1,1.781250259E0,-3.377166046E-1
2.001861903E1,1.712993151E0,-2.809482096E-1
2.051861903E1,1.671865401E0,-3.212954919E-1
2.101861903E1,1.677630418E0,-3.141304448E-1
2.151861903E1,1.704837194E0,-2.491843119E-1
2.201861903E1,1.743855945E0,-3.269751058E-1
2.251861903E1,1.657917144E0,-2.633501762E-1
2.301861903E1,1.699619000E0,-2.936970271E-1
2.351861903E1,1.717108790E0,-2.803373930E-1
2.401861903E1,1.725083766E0,-2.825800543E-1
2.451861903E1,1.712646488E0,-2.934423735E-1
2.501861903E1,1.734362307E0,-3.167326077E-1
2.551861903E1,1.729309364E0,-3.027481569E-1
2.601861903E1,1.697639060E0,-3.312665281E-1
2.651861903E1,1.705700575E0,-3.316796100E-1
2.701861903E1,1.682300416E0,-2.943223974E-1
2.751861903E1,1.721680599E0,-3.073969771E-1
2.801861903E1,1.719755860E0,-3.074376527E-1
2.851861903E1,1.736362490E0,-3.406408484E-1
2.901861903E1,1.708756788E0,-3.074818830E-1
2.951861903E1,1.720729167E0,-3.189091719E-1
3.001861903E1,1.765773263E0,-3.439870780E-1
3.051861903E1,1.714789418E0,-2.912234364E-1
3.101861903E1,1.705183092E0,-2.988736847E-1
3.151861903E1,1.686689625E0,-2.650090964E-1
3.201861903E1,1.673773414E0,-2.354353157E-1
3.251861903E1,1.702716536E0,-2.446686857E-1
3.301861903E1,1.725164805E0,-2.900824821E-1
3.351861903E1,1.691646501E0,-3.360518146E-1
3.401861903E1,1.736694046E0,-3.298418003E-1
3.451861903E1,1.753919710E0,-3.280402585E-1
3.501861903E1,1.665865798E0,-3.182489195E-1
3.551861903E1,1.696620134E0,-2.865805278E-1
3.601861903E1,1.682416898E0,-2.932774488E-1
3.651861903E1,1.698571498E0,-3.052864741E-1
3.701861903E1,1.725533461E0,-3.028407093E-1
3.751861903E1,1.655830751E0,-2.653647488E-1
3.801861903E1,1.716558509E0,-3.589050074E-1
3.851861903E1,1.742099221E0,-3.575088117E-1
3.901861903E1,1.719776428E0,-3.667902684E-1
3.951861903E1,1.748449700E0,-3.400067229E-1
4.001861903E1,1.677238243E0,-3.246738504E-1
4.051861903E1,1.702421463E0,-3.082674313E-1
4.101861903E1,1.720940116E0,-3.293554566E-1
4.201861903E1,1.667360696E0,-2.983208678E-1
4.251861903E1,1.686060523E0,-3.068434205E-1
