"Time (s)","Velocity (m/s)","Gyroscope y (rad/s)"
4.626135900E-2,-3.628808632E-3,-7.257617265E-2
8.626135900E-2,-1.300171912E-2,-2.600343823E-1
1.262613590E-1,-1.966229826E-2,-3.932459652E-1
1.662613590E-1,-9.851615876E-3,-1.970323175E-1
2.062613590E-1,-5.748998374E-3,-1.149799675E-1
2.462613590E-1,-3.004233837E-2,-6.008467674E-1
2.862613590E-1,-3.403103948E-2,-6.806207895E-1
3.262613590E-1,-2.473095059E-2,-4.946190119E-1
3.662613590E-1,-1.875960678E-2,-3.751921356E-1
4.062613590E-1,-7.524198294E-3,-1.504839659E-1
4.462613590E-1,-7.872381806E-3,-1.574476361E-1
4.862613590E-1,-5.422373116E-3,-1.084474623E-1
5.262613590E-1,-4.717062786E-3,-9.434125572E-2
5.662613590E-1,-2.389804646E-3,-4.779609293E-2
6.062613590E-1,-3.501480073E-3,-7.002960145E-2
6.462613590E-1,-1.639886573E-3,-3.279773146E-2
6.862613590E-1,-1.067387499E-3,-2.134774998E-2
7.262613590E-1,-2.378892154E-3,-4.757784307E-2
7.662613590E-1,-2.976250276E-3,-5.952500552E-2
8.062613590E-1,-1.739588194E-3,-3.479176387E-2
8.462613590E-1,-4.146160558E-4,-8.292321116E-3
8.862613590E-1,1.746827736E-3,3.493655473E-2
9.262613590E-1,2.920677140E-3,5.841354281E-2
9.662613590E-1,2.996158600E-3,5.992317200E-2
1.006261359E0,3.906461596E-3,7.812923193E-2
1.046261359E0,2.578614838E-3,5.157229677E-2
1.086261359E0,2.524266019E-3,5.048532039E-2
1.126261359E0,-1.956238411E-4,-3.912476823E-3
1.166261359E0,-1.012506336E-3,-2.025012672E-2
1.206261359E0,1.693277271E-4,3.386554541E-3
1.246261359E0,-7.200021762E-4,-1.440004352E-2
1.286261359E0,-1.056102570E-4,-2.112205140E-3
1.326261359E0,-8.886910975E-4,-1.777382195E-2
1.366261359E0,-2.214408480E-4,-4.428816959E-3
1.406261359E0,-7.690811064E-4,-1.538162213E-2
