"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.588745117E0,8.114562988E0,4.924438477E0,9.623946064E0
0.000000000E0,-1.742462158E0,8.144165039E0,4.717773438E0,9.571885121E0
1.957865300E-2,-2.626434326E0,8.148437500E0,4.767822266E0,9.799353046E0
2.210354900E-2,-2.690124512E0,8.206359863E0,4.838195801E0,9.898952000E0
2.462854900E-2,-2.622131348E0,8.249450684E0,5.041717529E0,1.001738115E1
2.715354900E-2,-2.666656494E0,8.241790771E0,5.039794922E0,1.002186135E1
2.967854900E-2,-2.659973145E0,8.327026367E0,5.089599609E0,1.011527802E1
3.220354900E-2,-2.513427734E0,8.232696533E0,5.198760986E0,1.005592994E1
3.472854900E-2,-2.655181885E0,8.316497803E0,5.310821533E0,1.021855919E1
3.725354900E-2,-2.599609375E0,8.460144043E0,5.311309814E0,1.032191930E1
3.977854900E-2,-2.649475098E0,8.301666260E0,5.167480469E0,1.013115173E1
4.230354900E-2,-2.662963867E0,8.330749512E0,5.269104004E0,1.021059357E1
4.482854900E-2,-2.703765869E0,8.347076416E0,5.369659424E0,1.028675250E1
4.735354900E-2,-2.746459961E0,8.377136230E0,5.501586914E0,1.039167514E1
4.987854900E-2,-2.805572510E0,8.399566650E0,5.619537354E0,1.048823899E1
5.240354900E-2,-2.869445801E0,8.446563721E0,5.714416504E0,1.059399424E1
5.492854900E-2,-2.923858643E0,8.481506348E0,5.799163818E0,1.068247164E1
5.745354900E-2,-2.974151611E0,8.493896484E0,5.900268555E0,1.076127429E1
5.997854900E-2,-2.998382568E0,8.527679443E0,5.984558105E0,1.084096631E1
6.250354900E-2,-3.024902344E0,8.562927246E0,6.048126221E0,1.091116804E1
6.502854900E-2,-3.020629883E0,8.601409912E0,6.097717285E0,1.096770776E1
6.755354900E-2,-3.016693115E0,8.615234375E0,6.121978760E0,1.099096559E1
7.007854900E-2,-2.992919922E0,8.632781982E0,6.169921875E0,1.102499117E1
7.260354900E-2,-2.976898193E0,8.642120361E0,6.211761475E0,1.105143193E1
7.512854900E-2,-2.965148926E0,8.652465820E0,6.252746582E0,1.107944551E1
7.765354900E-2,-2.963592529E0,8.679870605E0,6.275573730E0,1.111331904E1
8.017854900E-2,-2.963775635E0,8.702697754E0,6.271301270E0,1.112879750E1
8.270354900E-2,-2.947814941E0,8.709259033E0,6.264190674E0,1.112568607E1
8.522854900E-2,-2.935119629E0,8.714599609E0,6.242584229E0,1.111436149E1
8.775354900E-2,-2.913757324E0,8.732910156E0,6.228027344E0,1.111494607E1
9.027854900E-2,-2.894042969E0,8.736511230E0,6.175231934E0,1.108312242E1
9.280354900E-2,-2.868438721E0,8.723571777E0,6.115081787E0,1.103280882E1
9.532854900E-2,-2.825592041E0,8.716033936E0,6.062408447E0,1.098662888E1
9.785354900E-2,-2.783386230E0,8.683166504E0,6.015441895E0,1.092383452E1
1.003785490E-1,-2.726593018E0,8.651092529E0,5.969390869E0,1.085860667E1
1.028535490E-1,-2.667968750E0,8.619842529E0,5.933898926E0,1.079957865E1
1.053285490E-1,-2.607696533E0,8.587707520E0,5.888732910E0,1.073433635E1
1.078535490E-1,-2.542175293E0,8.552978516E0,5.814331055E0,1.065000199E1
1.103785490E-1,-2.464996338E0,8.531188965E0,5.756500244E0,1.058275423E1
1.129035490E-1,-2.390197754E0,8.520111084E0,5.717895508E0,1.053563796E1
1.154285490E-1,-2.304107666E0,8.516906738E0,5.668090820E0,1.048684252E1
1.179535490E-1,-2.215118408E0,8.534606934E0,5.595367432E0,1.044291156E1
1.204285490E-1,-2.140716553E0,8.551116943E0,5.519287109E0,1.040032685E1
1.229035490E-1,-2.085754395E0,8.576873779E0,5.422088623E0,1.035915924E1
1.254285490E-1,-2.035064697E0,8.612426758E0,5.319793701E0,1.032548246E1
1.279535490E-1,-1.984375000E0,8.649475098E0,5.212463379E0,1.029178984E1
1.304785490E-1,-1.935485840E0,8.686218262E0,5.083496094E0,1.024882557E1
1.330035490E-1,-1.886047363E0,8.719390869E0,4.941986084E0,1.019843999E1
1.355285490E-1,-1.865081787E0,8.764526367E0,4.775787354E0,1.015399416E1
1.380035490E-1,-1.836364746E0,8.797485352E0,4.623626709E0,1.010672588E1
1.404785490E-1,-1.817749023E0,8.831207275E0,4.473022461E0,1.006490752E1
1.430035490E-1,-1.797027588E0,8.862670898E0,4.333557129E0,1.002775952E1
1.455285490E-1,-1.795532227E0,8.894348145E0,4.190856934E0,9.994831001E0
1.480035490E-1,-1.802062988E0,8.914398193E0,4.043212891E0,9.952964214E0
1.504785490E-1,-1.825927734E0,8.927612305E0,3.924987793E0,9.921784251E0
1.530035490E-1,-1.880096436E0,8.925750732E0,3.807312012E0,9.884301366E0
1.554785490E-1,-1.951049805E0,8.886749268E0,3.699951172E0,9.821942097E0
1.579535490E-1,-2.047698975E0,8.849914551E0,3.589996338E0,9.767401515E0
1.604785490E-1,-2.135742188E0,8.804138184E0,3.496856689E0,9.710934587E0
1.630035490E-1,-2.231048584E0,8.767089844E0,3.401977539E0,9.665034573E0
1.654785490E-1,-2.303100586E0,8.718597412E0,3.341888428E0,9.616986607E0
1.679535490E-1,-2.373840332E0,8.674621582E0,3.299987793E0,9.579879798E0
